Provinsi,Jenis Kelamin,,,
"",Laki-laki,Perempuan,"Laki-Laki +Perempuan",
"(1)",(2),(3),(4),
Aceh,2 647 563,2 627 308,5 274 871,
Sumatera Utara,7 422 046,7 377 315,14 799 361,
Sumatera Barat,2 786 360,2 748 112,5 534 472,
Riau,3 276 658,3 117 429,6 394 087,
Jambi,1 810 015,1 738 213,3 548 228,
Sumatera Selatan,4 320 078,4 147 354,8 467 432,
Bengkulu,1 029 137,981 533,2 010 670,
Lampung,4 616 805,4 391 043,9 007 848,
Kepulauan Bangka Belitung,749 548,706 130,1 455 678,
Kepulauan Riau,1 053 296,1 011 268,2 064 564,
DKI Jakarta,5 334 781,5 227 307,10 562 088,
Jawa Barat,24 508 885,23 765 277,48 274 162,
Jawa Tengah,18 362 143,18 153 892,36 516 035,
DI Yogyakarta,1 817 927,1 850 792,3 668 719,
Jawa Timur,20 291 592,20 374 104,40 665 696,
Banten,6 070 271,5 834 291,11 904 562,
Bali,2 171 105,2 146 299,4 317 404,
Nusa Tenggara Barat,2 656 208,2 663 884,5 320 092,
Nusa Tenggara Timur,2 663 771,2 661 795,5 325 566,
Kalimantan Barat,2 784 113,2 630 277,5 414 390,
Kalimantan Tengah,1 385 705,1 284 264,2 669 969,
Kalimantan Selatan,2 062 383,2 011 201,4 073 584,
Kalimantan Timur,1 961 634,1 804 405,3 766 039,
Kalimantan Utara,370 650,331 164,701 814,
Sulawesi Utara,1 341 918,1 280 005,2 621 923,
Sulawesi Tengah,1 534 706,1 451 028,2 985 734,
Sulawesi Selatan,4 504 641,4 568 868,9 073 509,
Sulawesi Tenggara,1 330 594,1 294 281,2 624 875,
Gorontalo,591 349,580 332,1 171 681,
Sulawesi Barat,720 187,699 042,1 419 229,
Maluku,936 478,912 445,1 848 923,
Maluku Utara,657 411,625 526,1 282 937,
Papua Barat,597 128,536 940,1 134 068,
Papua,2 294 813,2 008 894,4 303 707,
INDONESIA,136 661 899,133 542 018,270 203 917,
