Provinsi,"Februari20201)","Agustus20201)","Februari20211)","PerubahanFeb 2020–Feb 2021","PerubahanAgs 2020–Feb 2021","Upah Minimum Provinsi 2)2021"
"(1)",(2),(3),(4),(5),(6),(7)
Aceh,2 549 421,2 394 965,2 317 419,"-9,10","-3,24",3 165 031
Sumatera Utara,2 435 961,2 384 060,2 402 795,"-1,36","0,79",2 499 423
Sumatera Barat,2 769 314,2 660 533,2 831 081,"2,23","6,41",2 484 041
Riau,2 776 192,2 692 523,2 732 853,"-1,56","1,50",2 888 564
Jambi,2 433 050,2 205 868,2 219 533,"-8,78","0,62",2 630 162
Sumatera Selatan,2 256 548,2 231 143,2 348 034,"4,05","5,24",3 144 446
Bengkulu,2 548 631,2 540 846,2 642 795,"3,69","4,01",2 215 000
Lampung,2 329 137,2 185 101,2 246 936,"-3,53","2,83",2 432 002
Kepulauan Bangka Belitung,2 911 181,2 436 156,2 869 375,"-1,44","17,78",3 230 024
Kepulauan Riau,3 972 618,4 186 844,4 302 611,"8,31","2,77",3 005 460
DKI Jakarta,4 560 084,4 224 720,4 116 037,"-9,74","-2,57",4 416 187
Jawa Barat,3 209 924,3 073 294,3 200 132,"-0,31","4,13",1 810 351
Jawa Tengah,2 251 787,2 088 172,2 186 275,"-2,91","4,70",1 798 979
D.I. Yogyakarta,2 450 742,2 308 710,2 189 389,"-10,66","-5,17",1 765 000
Jawa Timur,2 417 761,2 389 494,2 552 845,"5,59","6,84",1 868 777
Banten,3 951 349,3 693 411,3 959 468,"0,21","7,20",2 460 997
Bali,3 082 389,2 446 534,2 609 873,"-15,33","6,68",2 494 000
Nusa Tenggara Barat,2 465 709,2 169 679,2 209 681,"-10,38","1,84",2 183 883
Nusa Tenggara Timur,2 236 482,2 167 121,2 267 844,"1,40","4,65",1 950 000
Kalimantan Barat,2 538 895,2 400 905,2 421 429,"-4,63","0,85",2 399 699
Kalimantan Tengah,3 143 525,2 934 082,3 090 231,"-1,70","5,32",2 903 145
Kalimantan Selatan,2 976 567,2 651 958,2 894 182,"-2,77","9,13",2 877 449
Kalimantan Timur,3 886 706,3 640 294,3 525 601,"-9,29","-3,15",2 981 379
Kalimantan Utara,3 703 403,3 340 249,3 109 418,"-16,04","-6,91",3 000 804
Sulawesi Utara,3 213 604,3 106 020,3 247 838,"1,07","4,57",3 310 723
Sulawesi Tengah,2 447 650,2 498 933,2 352 948,"-3,87","-5,84",2 303 711
Sulawesi Selatan,3 066 598,2 792 616,3 040 372,"-0,86","8,87",3 165 876
Sulawesi Tenggara,2 755 928,2 574 589,2 544 107,"-7,69","-1,18",2 552 015
Gorontalo,2 434 251,2 228 459,2 623 953,"7,79","17,75",2 788 826
Sulawesi Barat,2 217 066,2 068 690,1 942 230,"-12,40","-6,11",2 678 863
Maluku,2 879 275,2 766 573,3 030 049,"5,24","9,52",2 604 961
Maluku Utara,2 884 292,2 869 968,2 954 122,"2,42","2,93",2 721 530
Papua Barat,3 208 716,3 307 638,3 390 202,"5,66","2,50",3 134 600
Papua,3 967 325,3 977 594,4 039 048,"1,81","1,55",3 516 700
Indonesia,2 911 540,2 756 345,2 860 630,"-1,75","3,78",2 687 724
